Detection Time: 2024-11-19 15:06:39, Lat: 26.9150048, Lon: 75.7416909, trackid : 41
Class: 2, Detection Time: 2024-11-16 17:42:36.466667, Lat: 26.9150048, Lon: 75.7416909, trackid : 165
Class: 2, Detection Time: 2024-11-16 17:42:36.766667, Lat: 26.9150048, Lon: 75.7416909, trackid : 168
Class: 2, Detection Time: 2024-11-16 17:42:37.066667, Lat: 26.9150048, Lon: 75.7416909, trackid : 176
Class: 2, Detection Time: 2024-11-16 17:42:38.533333, Lat: 26.9150048, Lon: 75.7416909, trackid : 193
Class: 2, Detection Time: 2024-11-16 17:42:38.766667, Lat: 26.9150048, Lon: 75.7416909, trackid : 197
Class: 4, Detection Time: 2024-11-16 17:42:07.300000, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:42:17.633333, Lat: 26.9150048, Lon: 75.7416909, trackid : 5
Class: 4, Detection Time: 2024-11-16 17:42:03.533333, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:42:07.266667, Lat: 26.9150048, Lon: 75.7416909, trackid : 10
Class: 4, Detection Time: 2024-11-16 17:42:11.600000, Lat: 26.9150048, Lon: 75.7416909, trackid : 13
Class: 4, Detection Time: 2024-11-16 17:42:17.466667, Lat: 26.9150048, Lon: 75.7416909, trackid : 19
Class: 4, Detection Time: 2024-11-16 17:42:17.833333, Lat: 26.9150048, Lon: 75.7416909, trackid : 20
Class: 4, Detection Time: 2024-11-16 17:42:17.966667, Lat: 26.9150048, Lon: 75.7416909, trackid : 21
Class: 4, Detection Time: 2024-11-16 17:42:20.933333, Lat: 26.9150048, Lon: 75.7416909, trackid : 23
Class: 5, Detection Time: 2024-11-16 17:42:23.200000, Lat: 26.9150048, Lon: 75.7416909, trackid : 24
Class: 4, Detection Time: 2024-11-16 17:42:03.533333, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:42:07.266667, Lat: 26.9150048, Lon: 75.7416909, trackid : 10
Class: 4, Detection Time: 2024-11-16 17:42:11.600000, Lat: 26.9150048, Lon: 75.7416909, trackid : 13
Class: 4, Detection Time: 2024-11-16 17:42:17.466667, Lat: 26.9150048, Lon: 75.7416909, trackid : 19
Class: 4, Detection Time: 2024-11-16 17:42:17.833333, Lat: 26.9150048, Lon: 75.7416909, trackid : 20
Class: 4, Detection Time: 2024-11-16 17:42:17.966667, Lat: 26.9150048, Lon: 75.7416909, trackid : 21
Class: 4, Detection Time: 2024-11-16 17:42:20.933333, Lat: 26.9150048, Lon: 75.7416909, trackid : 23
Class: 5, Detection Time: 2024-11-16 17:42:23.200000, Lat: 26.9150048, Lon: 75.7416909, trackid : 24
Class: 4, Detection Time: 2024-11-16 17:42:03.533333, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:42:07.266667, Lat: 26.9150048, Lon: 75.7416909, trackid : 10
Class: 4, Detection Time: 2024-11-16 17:42:03.533333, Lat: 26.9150048, Lon: 75.7416909, trackid : 19
Class: 4, Detection Time: 2024-11-16 17:42:07.266667, Lat: 26.9150048, Lon: 75.7416909, trackid : 23
Class: 4, Detection Time: 2024-11-16 17:42:11.600000, Lat: 26.9150048, Lon: 75.7416909, trackid : 26
Class: 4, Detection Time: 2024-11-16 17:42:17.466667, Lat: 26.9150048, Lon: 75.7416909, trackid : 32
Class: 4, Detection Time: 2024-11-16 17:42:17.833333, Lat: 26.9150048, Lon: 75.7416909, trackid : 33
Class: 4, Detection Time: 2024-11-16 17:42:17.966667, Lat: 26.9150048, Lon: 75.7416909, trackid : 34
Class: 4, Detection Time: 2024-11-16 17:42:20.933333, Lat: 26.9150048, Lon: 75.7416909, trackid : 36
Class: 5, Detection Time: 2024-11-16 17:42:23.200000, Lat: 26.9150048, Lon: 75.7416909, trackid : 37
Class: 4, Detection Time: 2024-11-16 17:42:07.300000, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:42:07.300000, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:42:17.633333, Lat: 26.9150048, Lon: 75.7416909, trackid : 8
Class: 4, Detection Time: 2024-11-16 17:42:07.300000, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:42:17.633333, Lat: 26.9150048, Lon: 75.7416909, trackid : 5
Class: 4, Detection Time: 2024-11-16 17:42:03.533333, Lat: 26.9150048, Lon: 75.7416909, trackid : 17
